id:[304091140]; subdetid:[1]; layer:[2]; ladder:[ 1]; module:[1]; phi:[-0.0270601958036423,+0.2185253202915192]; z:[-26.6900005340576172,-20.2100009918212891]; r:[6.6130862236022949,6.6413731575012207]; 
id:[304091144]; subdetid:[1]; layer:[2]; ladder:[ 1]; module:[2]; phi:[-0.0270601958036423,+0.2185253202915192]; z:[-19.9899997711181641,-13.5100002288818359]; r:[6.6130862236022949,6.6413731575012207]; 
id:[304091148]; subdetid:[1]; layer:[2]; ladder:[ 1]; module:[3]; phi:[-0.0270601958036423,+0.2185253202915192]; z:[-13.2899999618530273,-6.8100004196166992]; r:[6.6130862236022949,6.6413731575012207]; 
id:[304091152]; subdetid:[1]; layer:[2]; ladder:[ 1]; module:[4]; phi:[-0.0270601958036423,+0.2185253202915192]; z:[-6.5900001525878906,-0.1099998950958252]; r:[6.6130862236022949,6.6413731575012207]; 
id:[304091156]; subdetid:[1]; layer:[2]; ladder:[ 1]; module:[5]; phi:[-0.0270601958036423,+0.2185253202915192]; z:[+0.1099998950958252,+6.5900001525878906]; r:[6.6130862236022949,6.6413731575012207]; 
id:[304091160]; subdetid:[1]; layer:[2]; ladder:[ 1]; module:[6]; phi:[-0.0270601958036423,+0.2185253202915192]; z:[+6.8100004196166992,+13.2899999618530273]; r:[6.6130862236022949,6.6413731575012207]; 
id:[304091164]; subdetid:[1]; layer:[2]; ladder:[ 1]; module:[7]; phi:[-0.0270601958036423,+0.2185253202915192]; z:[+13.5100002288818359,+19.9899997711181641]; r:[6.6130862236022949,6.6413731575012207]; 
id:[304091168]; subdetid:[1]; layer:[2]; ladder:[ 1]; module:[8]; phi:[-0.0270601958036423,+0.2185253202915192]; z:[+20.2100009918212891,+26.6900005340576172]; r:[6.6130862236022949,6.6413731575012207]; 
id:[304095236]; subdetid:[1]; layer:[2]; ladder:[ 2]; module:[1]; phi:[+0.2036251276731491,+0.4366389214992523]; z:[-26.6900005340576172,-20.2100009918212891]; r:[6.9681315422058105,6.9964389801025391]; 
id:[304095240]; subdetid:[1]; layer:[2]; ladder:[ 2]; module:[2]; phi:[+0.2036251276731491,+0.4366389214992523]; z:[-19.9899997711181641,-13.5100002288818359]; r:[6.9681315422058105,6.9964389801025391]; 
id:[304095244]; subdetid:[1]; layer:[2]; ladder:[ 2]; module:[3]; phi:[+0.2036251276731491,+0.4366389214992523]; z:[-13.2899999618530273,-6.8100004196166992]; r:[6.9681315422058105,6.9964389801025391]; 
id:[304095248]; subdetid:[1]; layer:[2]; ladder:[ 2]; module:[4]; phi:[+0.2036251276731491,+0.4366389214992523]; z:[-6.5900001525878906,-0.1099998950958252]; r:[6.9681315422058105,6.9964389801025391]; 
id:[304095252]; subdetid:[1]; layer:[2]; ladder:[ 2]; module:[5]; phi:[+0.2036251276731491,+0.4366389214992523]; z:[+0.1099998950958252,+6.5900001525878906]; r:[6.9681315422058105,6.9964389801025391]; 
id:[304095256]; subdetid:[1]; layer:[2]; ladder:[ 2]; module:[6]; phi:[+0.2036251276731491,+0.4366389214992523]; z:[+6.8100004196166992,+13.2899999618530273]; r:[6.9681315422058105,6.9964389801025391]; 
id:[304095260]; subdetid:[1]; layer:[2]; ladder:[ 2]; module:[7]; phi:[+0.2036251276731491,+0.4366389214992523]; z:[+13.5100002288818359,+19.9899997711181641]; r:[6.9681315422058105,6.9964389801025391]; 
id:[304095264]; subdetid:[1]; layer:[2]; ladder:[ 2]; module:[8]; phi:[+0.2036251276731491,+0.4366389214992523]; z:[+20.2100009918212891,+26.6900005340576172]; r:[6.9681315422058105,6.9964389801025391]; 
id:[304099332]; subdetid:[1]; layer:[2]; ladder:[ 3]; module:[1]; phi:[+0.4217387735843658,+0.6673243045806885]; z:[-26.6900005340576172,-20.2100009918212891]; r:[6.6130867004394531,6.6413736343383789]; 
id:[304099336]; subdetid:[1]; layer:[2]; ladder:[ 3]; module:[2]; phi:[+0.4217387735843658,+0.6673243045806885]; z:[-19.9899997711181641,-13.5100002288818359]; r:[6.6130867004394531,6.6413736343383789]; 
id:[304099340]; subdetid:[1]; layer:[2]; ladder:[ 3]; module:[3]; phi:[+0.4217387735843658,+0.6673243045806885]; z:[-13.2899999618530273,-6.8100004196166992]; r:[6.6130867004394531,6.6413736343383789]; 
id:[304099344]; subdetid:[1]; layer:[2]; ladder:[ 3]; module:[4]; phi:[+0.4217387735843658,+0.6673243045806885]; z:[-6.5900001525878906,-0.1099998950958252]; r:[6.6130867004394531,6.6413736343383789]; 
id:[304099348]; subdetid:[1]; layer:[2]; ladder:[ 3]; module:[5]; phi:[+0.4217387735843658,+0.6673243045806885]; z:[+0.1099998950958252,+6.5900001525878906]; r:[6.6130867004394531,6.6413736343383789]; 
id:[304099352]; subdetid:[1]; layer:[2]; ladder:[ 3]; module:[6]; phi:[+0.4217387735843658,+0.6673243045806885]; z:[+6.8100004196166992,+13.2899999618530273]; r:[6.6130867004394531,6.6413736343383789]; 
id:[304099356]; subdetid:[1]; layer:[2]; ladder:[ 3]; module:[7]; phi:[+0.4217387735843658,+0.6673243045806885]; z:[+13.5100002288818359,+19.9899997711181641]; r:[6.6130867004394531,6.6413736343383789]; 
id:[304099360]; subdetid:[1]; layer:[2]; ladder:[ 3]; module:[8]; phi:[+0.4217387735843658,+0.6673243045806885]; z:[+20.2100009918212891,+26.6900005340576172]; r:[6.6130867004394531,6.6413736343383789]; 
id:[304103428]; subdetid:[1]; layer:[2]; ladder:[ 4]; module:[1]; phi:[+0.6524240970611572,+0.8854379057884216]; z:[-26.6900005340576172,-20.2100009918212891]; r:[6.9681315422058105,6.9964394569396973]; 
id:[304103432]; subdetid:[1]; layer:[2]; ladder:[ 4]; module:[2]; phi:[+0.6524240970611572,+0.8854379057884216]; z:[-19.9899997711181641,-13.5100002288818359]; r:[6.9681315422058105,6.9964394569396973]; 
id:[304103436]; subdetid:[1]; layer:[2]; ladder:[ 4]; module:[3]; phi:[+0.6524240970611572,+0.8854379057884216]; z:[-13.2899999618530273,-6.8100004196166992]; r:[6.9681315422058105,6.9964394569396973]; 
id:[304103440]; subdetid:[1]; layer:[2]; ladder:[ 4]; module:[4]; phi:[+0.6524240970611572,+0.8854379057884216]; z:[-6.5900001525878906,-0.1099998950958252]; r:[6.9681315422058105,6.9964394569396973]; 
